Ranking,Country,Continent,Population (2021),Yearly Change %,Net Change,Density (Population/km2),Land Area (km2),Migrants (net),Fertility Rate,Median Age,Urban Population %
149,Slovenia,Europe,2078938,0.01,284,103,20140,2000,1.6,45,55
150,Guinea-Bissau,Africa,1968001,2.45,47079,70,28120,-1399,4.5,19,45
151,Latvia,Europe,1886198,-1.08,-20545,30,62200,-14837,1.7,44,69
152,Bahrain,Asia,1701575,3.68,60403,2239,760,47800,2.0,32,89
153,Equatorial Guinea,Africa,1402985,3.47,46999,50,28080,16000,4.6,22,73
154,Trinidad and Tobago,North America,1399488,0.32,4515,273,5130,-800,1.7,36,52
155,Estonia,Europe,1326535,0.07,887,31,42390,3911,1.6,42,68
156,Timor-Leste,Asia,1318445,1.96,25326,89,14870,-5385,4.1,21,33
157,Mauritius,Africa,1271768,0.17,2100,626,2030,0,1.4,37,41
158,Cyprus,Europe,1207359,0.73,8784,131,9240,5000,1.3,37,67
159,Swaziland,Africa,1160164,1.05,12034,67,17200,-8353,3.0,21,30
160,Djibouti,Africa,998000,1.48,14440,43,23180,900,2.8,27,79
161,Fiji,Oceania,896445,0.73,6492,49,18270,-6202,2.8,28,59
162,Réunion,Africa,895312,0.72,6385,358,2500,-1256,2.3,36,100
163,Comoros,Africa,869601,2.20,18715,467,1861,-2000,4.2,20,29
164,Guyana,South America,786552,0.48,3786,4,196850,-6000,2.5,27,27
165,Bhutan,Asia,771608,1.12,8516,20,38117,320,2.0,28,46
166,Solomon Islands,Oceania,686884,2.55,17061,25,27990,-1600,4.4,20,23
167,Macau,Asia,649335,1.39,8890,21645,30,5000,1.2,39,NaN
168,Montenegro,Europe,628066,0.01,79,47,13450,-480,1.8,39,68
169,Luxembourg,Europe,625978,1.66,10249,242,2590,9741,1.5,40,88
170,Western Sahara,Africa,597339,2.55,14876,2,266000,5582,2.4,28,87
171,Suriname,South America,586632,0.90,5260,4,156000,-1000,2.4,29,65
172,Cape Verde,Africa,555987,1.10,6052,138,4030,-1342,2.3,28,68
173,Federated States of Micronesia,Oceania,548914,1.00,5428,784,700,-2957,2.9,27,68
174,Maldives,Asia,540544,1.81,9591,1802,300,11370,1.9,30,35
175,Malta,Europe,441543,0.27,1171,1380,320,900,1.5,43,93
176,Brunei,Asia,437479,0.97,4194,83,5270,0,1.8,32,80
177,Guadeloupe,North America,400124,0.02,68,237,1690,-1440,2.2,44,NaN
178,Belize,North America,397628,1.86,7275,17,22810,1200,2.3,25,46
179,Bahamas,North America,393244,0.97,3762,39,10010,1000,1.8,32,86
180,Martinique,North America,375265,-0.08,-289,354,1060,-960,1.9,47,92
181,Iceland,Europe,341243,0.65,2212,3,100250,380,1.8,37,94
182,Vanuatu,Oceania,307145,2.42,7263,25,12190,120,3.8,21,24
183,French Guiana,South America,298682,2.70,7850,4,82200,1200,3.4,25,87
184,Barbados,North America,287375,0.12,350,668,430,-79,1.6,40,31
185,New Caledonia,Oceania,285498,0.97,2748,16,18280,502,2.0,34,72
186,French Polynesia,Oceania,280908,0.58,1621,77,3660,-1000,2.0,34,64
187,Mayotte,Africa,272815,2.50,6665,728,375,0,3.7,20,46
188,São Tomé and Príncipe,Africa,219159,1.91,4103,228,960,-1680,4.4,19,74
189,Samoa,Oceania,198414,0.67,1317,70,2830,-2803,3.9,22,18
190,Saint Lucia,North America,183627,0.46,837,301,610,0,1.4,34,19
191,Channel Islands,Europe,173863,0.93,1604,915,190,1351,1.5,43,30
192,Guam,Oceania,168775,0.89,1481,313,540,-506,2.3,31,95
193,Curaçao,North America,164093,0.41,669,370,444,515,1.8,42,89
194,Kiribati,Oceania,119449,1.57,1843,147,810,-800,3.6,23,57
195,Grenada,North America,112523,0.46,520,331,340,-200,2.1,32,35
196,Saint Vincent and the Grenadines,North America,110940,0.32,351,284,390,-200,1.9,33,53
197,Aruba,South America,106766,0.43,452,593,180,201,1.9,41,44
198,Tonga,Oceania,105695,1.15,1201,147,720,-800,3.6,22,24
199,United States Virgin Islands,North America,104425,-0.15,-153,298,350,-451,2.0,43,96
200,Seychelles,Africa,98347,0.62,608,214,460,-200,2.5,34,56
201,Antigua and Barbuda,North America,97929,0.84,811,223,440,0,2.0,34,26
202,Isle of Man,Europe,85033,0.53,449,149,570,NaN,NaN,NaN,53
203,Andorra,Europe,77265,0.16,123,164,470,NaN,NaN,NaN,88
204,Dominica,North America,71986,0.25,178,96,750,NaN,NaN,NaN,74
205,Cayman Islands,North America,65722,1.19,774,274,240,NaN,NaN,NaN,97
206,Bermuda,North America,62278,-0.36,-228,1246,50,NaN,NaN,NaN,97
207,Marshall Islands,Oceania,59190,0.68,399,329,180,NaN,NaN,NaN,70
208,Northern Mariana Islands,Oceania,57559,0.60,343,125,460,NaN,NaN,NaN,88
209,Greenland,Europe,56770,0.17,98,0,410450,NaN,NaN,NaN,87
210,American Samoa,Oceania,55191,-0.22,-121,276,200,NaN,NaN,NaN,88
211,Saint Kitts and Nevis,North America,53199,0.71,376,205,260,NaN,NaN,NaN,33
212,Faroe Islands,Europe,48863,0.38,185,35,1396,NaN,NaN,NaN,43
213,Sint Maarten,North America,42876,1.15,488,1261,34,NaN,NaN,NaN,96
214,Monaco,Europe,39242,0.71,278,26337,1,NaN,NaN,NaN,NaN
215,Turks and Caicos Islands,North America,38717,1.38,526,41,950,NaN,NaN,NaN,89
216,Collectivity of Saint Martin,North America,38666,1.75,664,730,53,NaN,NaN,NaN,0
217,Liechtenstein,Europe,38128,0.29,109,238,160,NaN,NaN,NaN,15
218,San Marino,Europe,33931,0.21,71,566,60,NaN,NaN,NaN,97
